nuclear	0.58108	0.66825	1.0771	0.34879	-0.34613	0.20463	0.78436	0.11287	0.77594	0.43579	0.18566	-0.20375	-0.53369	0.55578	-0.099609	1.1739	0.83277	1.2848	-0.19772	0.41573	1.1255	-0.31634	0.22493	-1.0348	0.28462	-2.7709	0.80654	0.24704	0.64272	0.41439	2.4058	-1.1552	-1.3758	-0.90799	0.20109	-0.29947	0.10769	0.29975	-0.94256	0.26281	-0.17048	-1.1831	0.99454	-0.50074	1.0424	0.8123	-0.20606	1.9433	-1.2817	-0.49774
ion	0.86015	0.97526	1.8838	0.76662	-0.66205	0.71453	1.7028	0.17846	-1.3807	1.3071	1.5096	0.16913	0.42233	0.66916	-0.73155	-0.016123	-0.14876	1.1084	-0.20503	-0.58949	0.55854	-1.0771	0.94995	-0.028311	-0.14963	-0.057773	0.34439	-0.12496	-0.36509	0.8127	1.0916	-0.40304	-0.24614	-1.1973	-0.29586	0.35822	0.24865	0.70019	0.59334	0.49608	1.2426	0.86966	-0.78135	-1.172	0.50111	-1.0162	0.021788	-0.55317	0.49329	0.16569
quantum	0.41147	0.15166	0.42761	1.1344	0.085898	0.67437	1.0505	-0.97778	-0.23671	1.1651	0.91251	0.85025	-0.57815	1.001	-0.41593	0.38224	0.55149	0.25466	-0.90356	-1.0741	0.92841	-0.71477	-0.32424	-0.46824	0.96393	-0.04227	-1.1594	-0.74222	0.20138	0.11559	1.4088	-1.5777	-0.37774	-1.1129	-0.21055	-1.1192	-0.46491	0.1982	0.98134	1.5	0.002585	-0.21358	-0.26398	1.8423	-1.1379	-0.40246	1.7081	0.51376	-0.38176	-0.22012
topics/biology.txt	1.14697	0.133033	0.215187	0.516279	0.753478	0.998151	0.805701	-0.720708	1.40186	0.400416	0.928952	-0.0938866	0.497838	0.558413	-0.298321	0.593463	0.0119545	-0.158649	0.154623	0.262524	-0.159758	-0.862101	1.02988	0.159087	0.0440273	-0.263644	-0.112443	-0.0560341	0.385549	-0.202285	1.43547	-0.680703	0.00422857	-1.28475	-0.0354869	0.137261	-0.03683	0.689955	0.464948	0.598597	-0.0169939	-0.653911	0.00682288	0.550952	0.695134	0.344873	0.880048	-0.357972	-0.165408	-0.0226705
cell	1.4761	0.42424	1.4387	0.5277	0.68466	1.0248	0.42836	-0.43636	0.93776	0.4999	0.76628	-0.6257	0.11867	0.76455	-0.41856	0.80716	-1.145	-0.075398	0.47328	0.16632	0.25749	-0.41617	0.45851	0.65778	-0.47289	-1.4163	0.4418	-0.25573	0.35258	-0.2884	2.5676	-0.31983	-0.44509	-1.2688	-0.073922	0.001126	0.35743	0.44641	0.26805	0.38776	0.44051	-0.26319	-0.48449	0.78691	1.4343	-0.34328	0.60773	-0.9809	-0.47391	-0.0090641
bacteria	1.8136	-0.98021	0.045116	-0.054527	0.25901	0.78756	1.3212	-0.29285	1.5247	0.70072	0.45972	0.2664	1.2711	0.17532	-0.0048449	0.169	0.10865	-0.41522	-0.41345	-0.43295	-0.64414	-1.5182	2.6311	0.1047	0.39087	-0.62217	-0.12432	-0.047487	1.1417	0.31804	1.3707	-0.93411	-0.092423	-1.3615	-0.43151	-0.17843	0.01576	0.85686	0.66361	0.862	-0.23196	-0.76041	0.59664	1.2635	2.1353	1.3886	-0.23674	-1.4089	0.27016	0.14336
biology	-0.32519	1.0813	-0.73782	0.087665	0.22888	0.6475	0.13426	-1.5758	0.51152	-0.087914	0.93531	0.20949	0.3495	0.2051	-0.45107	0.13479	-0.19415	0.86683	-0.28273	0.77492	-0.032939	0.0015082	0.59856	0.027327	0.62912	-0.92576	-0.32665	-1.0078	-0.70243	-0.043362	1.7215	-1.0031	-0.41169	-2.1112	0.10656	0.20487	-0.85575	1.4078	1.6879	0.71521	-0.31717	-1.1002	0.483	1.2608	0.68829	0.53763	1.9542	0.44175	-0.3014	0.39389
biodiversity	0.39612	0.64807	-0.6504	0.78784	0.19231	-0.67079	-0.13463	-1.4594	2.2237	-0.05103	0.29842	0.28128	1.1389	-0.43925	-0.29157	0.4362	1.6484	-0.27968	-0.29519	0.46714	-0.60553	-0.64908	-0.050627	-1.0734	0.34129	0.63703	-0.031827	-0.27396	0.29665	0.95172	1.3854	0.056474	-0.26698	-1.9747	-0.79063	0.11139	-0.74292	-0.31011	0.18297	-0.15264	-1.0165	-1.0273	0.68283	-0.11051	-0.02443	0.90431	-0.12231	0.53747	0.65932	0.20772
membrane	1.3573	0.66721	0.3124	0.86606	0.41474	0.98999	2.2146	-0.074692	1.5298	0.21862	1.3858	-0.088649	-0.080556	1.5948	-1.1146	1.7158	0.32514	-0.19045	0.50429	0.109	0.85512	-0.74819	1.0883	0.56333	-0.65976	0.15857	0.6389	1.1886	0.74193	0.020334	1.5413	-0.45279	0.90534	-0.90656	-0.58774	0.57343	0.35929	0.64731	0.17889	1.0352	0.92451	0.016628	-0.36227	0.4313	0.37275	-0.13814	1.2857	-1.1118	-0.53211	-0.55848
chloroplast	1.4249	0.32407	0.51643	0.58162	0.7936	1.2049	0.53323	-0.14088	1.2769	-0.11431	1.0032	-0.32328	0.56765	0.74122	-0.62655	0.61882	0.021887	-0.62169	0.65298	0.80604	-0.31475	-1.394	0.53299	-0.062273	-0.357	0.55311	-0.67404	0.41742	0.28448	-1.5107	-0.60391	-0.44356	0.72658	-0.68939	-0.37321	0.26551	-0.37561	0.54229	-0.22311	0.20912	0.42893	-0.87014	-0.054434	-0.10281	-0.026932	-0.055157	1.3179	-0.4613	-1.1724	-0.69841
dna	1.5254	-0.62415	0.46343	0.86997	1.0652	1.6919	0.36667	-0.18018	1.7664	0.68529	0.93934	-0.59654	-0.012565	0.19657	0.57104	0.48641	-0.28174	-1.2343	0.47888	-0.24682	-0.086103	-0.52538	0.81786	0.23602	-0.031694	-0.9552	-0.83327	-0.43082	-0.29061	-1.5646	1.8458	-1.7926	-0.27685	-1.1984	1.0755	0.20317	0.50459	0.82424	0.38877	0.29694	0.12745	-0.33873	0.24523	0.51359	0.66725	-0.48271	1.5093	0.16717	-0.50899	-0.66316
